,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
17,O,O,O,B,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,作,为,收,集,出,行,数,据,的,重,要,行,业,标,准,，,纷,享,车,链,首,款,官,方,定,制,的,可,信,设,备,—,—,七,巧,智,盒,3,i,n,1,已,于,8,月,初,已,经,正,式,面,市,。,七,巧,智,盒,3,i,n,1,具,备,车,行,赚,钱,+,车,损,保,障,+,车,况,检,测,三,大,功,能,。,,,,,,,,,,,,,,,,,,
19,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,
20,第,一,，,七,巧,智,盒,3,i,n,1,是,纷,享,车,链,多,币,种,矿,机,。,第,二,，,七,巧,智,盒,3,i,n,1,套,装,版,本,内,含,特,别,定,制,的,“,车,辆,贬,值,补,偿,计,划,”,。,第,三,，,七,巧,智,盒,3,i,n,1,爱,车,监,控,功,能,能,对,近,百,种,车,况,数,据,进,行,详,尽,展,示,和,分,析,。,,,,,,,,,
21,O,O,O,B,I,I,I,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,
22,瑞,联,盟,，,全,国,支,付,第,二,交,易,额,，,中,国,人,民,银,行,颁,发,一,清,支,付,牌,照,，,靠,得,住,，,有,保,障,，,值,得,拥,有,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,欢,迎,加,入,瑞,联,盟,分,享,创,业,平,台,，,开,启,支,付,致,富,之,路,，,交,易,不,停,、,分,润,不,止,[,加,油,],[,加,油,],[,给,力,],h,t,t,p,:,/,/,t,.,c,n,/,R,c,F,h,T,K,H,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,鼎,汇,国,际,外,汇,《,[,發,],[,發,],[,發,],[,發,],[,發,],[,發,],》,新,加,坡,鼎,汇,外,汇,公,司,专,业,技,术,团,队,[,强,],[,强,],4,月,1,4,号,进,入,中,国,市,场,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,B,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,鼎,汇,国,际,获,利,报,表,4,月,1,7,号,第,一,次,开,单,盈,利,2,2,%,4,月,2,5,号,第,二,次,开,单,盈,利,2,1,%,5,月,1,号,，,第,三,次,开,单,盈,利,2,1,%,5,月,7,号,，,第,四,次,开,单,盈,利,1,9,%,5,月,1,0,号,，,第,五,次,开,单,盈,利,2,0,%,5,月,1,5,号,，,第,六,,,,,,,,
29,B,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,
30,D,r,a,g,o,n,E,x,于,5,月,1,3,日,参,加,了,在,美,国,纽,约,曼,哈,顿,马,奎,斯,万,豪,酒,店,主,办,的,2,0,1,8,年,无,国,界,区,块,链,峰,会,，,该,峰,会,邀,请,到,全,球,最,具,影,响,力,的,区,块,链,专,家,、,学,者,和,相,关,产,业,领,袖,，,由,多,家,海,外,机,构,提,供,赞,助,，,其,中,就,包,括,龙,网,。,
31,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,
32,据,小,编,所,知,，,龙,网,最,开,始,只,接,受,中,国,大,陆,手,机,注,册,，,而,现,在,，,已,经,开,放,了,海,外,手,机,号,的,注,册,和,实,名,认,证,，,也,有,人,透,露,说,龙,网,已,经,建,立,了,海,外,运,营,中,心,，,看,来,龙,网,已,经,准,备,进,军,海,外,市,场,。,,,,,,,,,,,,,,,,,,,
33,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,
34,而,龙,网,的,客,服,也,说,明,，,海,外,群,在,积,极,筹,备,之,中,，,一,旦,开,拓,了,海,外,市,场,，,龙,网,的,前,途,不,可,限,量,，,因,为,早,在,前,段,时,间,，,龙,网,就,一,直,在,2,0,-,3,0,名,徘,徊,，,表,现,出,色,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,小,编,了,解,，,在,峰,会,当,中,，,龙,网,实,时,发,布,了,现,场,照,片,，,吸,引,了,很,多,未,参,与,过,峰,会,的,用,户,，,而,这,些,用,户,，,也,都,因,此,对,龙,网,信,心,大,增,，,当,天,的,D,T,上,涨,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,可,以,从,现,场,照,片,看,出,，,与,会,的,人,对,龙,网,产,生,了,浓,厚,的,兴,趣,，,展,位,一,时,被,围,得,水,泄,不,通,，,说,到,龙,网,最,独,特,的,产,品,，,就,是,C,2,C,法,币,充,提,和,龙,币,了,，,一,个,是,充,提,渠,道,，,另,一,个,是,平,台,币,。,,,,,,,,,,,,,,,,,,,,,
39,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,
40,龙,网,的,充,提,功,能,是,6,.,5,人,民,币,：,1,美,元,的,固,定,汇,率,，,避,免,了,汇,率,波,动,带,来,的,损,失,以,及,大,大,方,便,了,用,户,的,操,作,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,据,统,计,，,一,枚,龙,币,从,平,台,上,线,至,今,，,历,经,半,年,，,分,红,已,经,累,计,达,5,3,人,民,币,（,不,计,E,T,H,和,D,T,分,红,）,，,最,初,，,平,台,还,壕,送,每,位,实,名,用,户,5,0,0,枚,龙,币,，,一,年,后,解,冻,，,至,今,，,分,红,已,累,计,达,近,3,0,0,0,0,元,，,而,这,5,0,0,枚,龙,币,，,目
43,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O
44,前,价,值,2,6,5,0,0,元,，,总,共,价,值,5,6,5,0,0,元,，,怪,不,得,龙,网,的,忠,实,用,户,这,么,多,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,在,这,场,无,国,界,峰,会,上,，,小,编,看,到,的,是,龙,网,团,队,在,努,力,前,进,，,让,更,多,人,熟,悉,他,们,的,网,站,，,以,期,做,大,做,强,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,小,编,相,信,龙,网,团,队,不,仅,仅,满,足,于,全,球,2,0,名,左,右,的,排,位,，,由,于,龙,币,的,特,殊,性,质,，,广,大,用,户,和,他,们,的,目,标,一,定,不,谋,而,合,，,因,此,，,龙,网,很,有,可,能,在,未,来,几,年,间,保,持,在,全,球,前,十,名,交,易,所,的,稳,定,排,名,。,,,,,,,,,,,,,,,,
49,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,
50,#,云,联,惠,用,户,的,心,声,#,#,云,联,惠,用,户,的,心,声,#,说,句,实,在,话,云,联,惠,平,台,其,实,和,淘,宝,、,京,东,、,王,府,井,百,货,等,平,台,是,一,样,的,，,唯,一,不,同,的,是,云,联,惠,把,应,该,赚,的,佣,金,、,平,台,服,务,费,(,1,6,%,),拿,出,来,分,享,给,了,所,有,在,这,里,参,与,消,费,的,人,而,已,。
51,O,B,I,I,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
52,不,知,道,云,联,惠,到,底,怎,么,了,，,被,广,州,公,安,关,停,了,，,只,知,道,5,.,8,之,前,我,愿,消,费,敢,消,费,多,消,费,，,享,着,万,分,.,.,.,全,文,：,h,t,t,p,:,/,/,m,.,w,e,i,b,o,.,c,n,/,7,0,8,8,3,0,5,2,9,6,/,4,3,9,7,6,6,9,4,7,0,4,9,7,9,7,1,?,,,,
53,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
54,时,光,流,转,，,7,月,将,至,，,金,斧,子,迎,来,了,第,7,个,生,日,！,在,互,联,网,财,富,管,理,这,条,跑,道,上,，,金,斧,子,不,知,不,觉,间,已,经,奔,跑,了,7,年,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,那,些,年,，,努,力,走,过,的,每,一,步,都,算,数,{,I,M,G,:,2,},7,t,h,A,n,n,i,v,e,r,s,a,r,y,2,0,1,2,.,7,获,腾,讯,创,始,人,之,一,曾,李,青,先,生,天,使,投,资,金,斧,子,官,网,w,w,w,.,j,i,n,f,u,z,i,.,c,o,m,正,式,上,线,2,0,1,3,.,9,互,联,网,财,富,管,理,业,务,正,式
57,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
58,颁,发,的,“,经,营,证,券,期,货,业,务,许,可,证,”,2,0,1,6,.,9,获,华,西,股,份,、,招,商,局,创,投,等,C,轮,投,资,金,斧,子,私,募,注,册,用,户,数,突,破,1,0,万,2,0,1,7,.,1,成,功,举,办,首,届,金,斧,子,私,募,大,会,2,0,1,7,.,9,首,支,水,星,股,权,母,基,金,正,式,发,行,2,0,1,7,.,1,2,金,斧
59,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
60,子,私,募,注,册,用,户,数,突,破,2,0,万,2,0,1,8,.,1,成,功,举,办,金,斧,子,第,二,届,私,募,大,会,2,0,1,8,.,3,获,得,京,基,资,本,、,老,股,东,C,1,轮,投,资,2,0,1,8,.,7,成,功,举,办,六,周,年,全,国,巡,回,庆,典,?,,,,,,,,,,,,,,,,,,,,,,,,,,
61,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,
62,品,牌,全,面,升,级,发,布,3,F,全,新,形,象,2,0,1,9,.,4,获,得,正,心,谷,创,新,资,本,领,投,的,P,r,e,-,D,轮,投,资,成,功,举,办,金,斧,子,第,三,届,私,募,大,会,2,0,1,9,.,5,金,斧,子,私,募,注,册,用,户,突,破,4,0,万,?,,,,,,,,,,,,,,,,,,,,,,,,,
63,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,
64,7,年,的,时,光,，,金,斧,子,人,一,直,发,扬,着,“,奋,斗,者,为,本,”,的,金,斧,子,精,神,，,始,终,坚,持,着,“,天,下,武,功,，,唯,快,不,破,”,的,做,事,方,式,，,秉,持,着,“,信,用,即,财,富,”,的,品,牌,内,涵,，,也,不,忘,“,科,技,提,升,投,资,品,质,”,的,使,命,！,,,,,,,,,,,,,,,,
65,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,
66,时,至,今,日,，,金,斧,子,已,经,发,展,成,为,拥,有,全,品,类,金,融,产,品,线,—,—,涵,盖,一,二,级,市,场,、,全,品,类,、,跨,周,期,、,跨,币,种,的,以,权,益,类,私,募,产,品,为,核,心,的,研,究,和,科,技,驱,动,的,资,产,配,置,服,务,平,台,，,累,计,资,产,管,理,规,模,超,过,3,0,0,亿,，,布,局,华,北,、,华,东,、,华,南
67,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
68,{,I,M,G,:,3,},一,路,走,来,，,金,斧,子,从,一,支,初,创,团,队,，,到,现,在,拥,有,5,0,0,多,名,斧,子,斧,妹,，,团,队,覆,盖,理,财,师,、,技,术,、,投,研,、,项,目,等,多,个,领,域,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,{,I,M,G,:,4,},金,斧,子,七,周,年,特,别,策,划,—,—,奋,斗,者,故,事,{,I,M,G,:,5,},把,金,斧,子,人,背,后,的,故,事,，,讲,给,你,听,：,那,些,辗,转,奔,波,只,为,信,守,承,诺,的,故,事,、,那,些,钻,研,学,习,只,为,摸,清,产,品,逻,辑,的,故,事,、,那,些,通,宵,达,旦,只,为,带,来,更,好,产,品,体,验,的,故,事
71,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
72,针,对,中,小,外,贸,企,业,融,资,需,求,短,、,频,、,急,的,特,点,，,我,行,积,极,加,入,北,京,市,“,政,保,贷,”,中,小,企,业,出,口,金,融,服,务,平,台,，,通,过,引,入,中,国,出,口,信,用,保,险,公,司,和,首,创,担,保,共,同,对,外,贸,企,业,和,融,资,银,行,承,担,风,险,，,由,工,行,北,京,分,行,作,为,融,资,银,行,为,中,小
73,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,I,I,I,I,I,O,B,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
